binary_splits,confidence_factor,config_laplace,leaves,min_num_obj,num_folds,precision,reduced_error_pruning,save_instance_data,subtree_raising,tree_size,unpruned
False,0.2,True,37.0,5,,53.0,False,True,False,53.0,False
True,,True,16.0,4,5.0,31.0,True,True,False,31.0,False
False,,False,35.0,4,3.0,45.0,True,True,False,45.0,False
True,,True,11.0,4,7.0,21.0,True,True,True,21.0,False
True,0.4,True,12.0,9,,23.0,False,False,False,23.0,False
True,,True,9.0,9,3.0,17.0,True,False,True,17.0,False
False,0.5,False,40.0,4,,56.0,False,False,False,56.0,False
False,0.3,True,45.0,3,,64.0,False,True,False,64.0,False
False,0.3,True,49.0,2,,69.0,False,True,True,69.0,False
False,,True,27.0,8,6.0,33.0,True,True,True,33.0,False
False,,True,66.0,1,6.0,80.0,True,True,False,80.0,False
True,,True,16.0,3,7.0,31.0,True,True,False,31.0,False
True,,False,28.0,1,4.0,55.0,True,False,False,55.0,False
True,0.4,False,28.0,2,,55.0,False,False,True,55.0,False
False,0.9,False,31.0,9,,41.0,False,True,False,41.0,False
False,,True,26.0,4,4.0,31.0,True,True,True,31.0,False
False,0.8,True,31.0,9,,41.0,False,True,True,41.0,False
False,0.8,True,55.0,3,,76.0,False,False,True,76.0,False
True,,True,8.0,8,4.0,15.0,True,True,True,15.0,False
True,,True,23.0,3,,45.0,False,False,False,45.0,True
False,,False,31.0,9,,41.0,False,False,False,41.0,True
False,,False,14.0,9,5.0,22.0,True,True,True,22.0,False
True,0.3,True,11.0,8,,21.0,False,False,False,21.0,False
True,,False,8.0,7,7.0,15.0,True,True,False,15.0,False
True,0.1,True,23.0,2,,45.0,False,True,True,45.0,False
False,0.9,False,31.0,8,,41.0,False,False,True,41.0,False
True,,True,17.0,3,4.0,33.0,True,False,True,33.0,False
True,,False,23.0,1,2.0,45.0,True,True,False,45.0,False
True,0.5,True,28.0,2,,55.0,False,True,True,55.0,False
False,0.4,True,49.0,2,,69.0,False,False,False,69.0,False
False,0.3,False,34.0,7,,47.0,False,True,False,47.0,False
True,0.8,True,15.0,7,,29.0,False,False,False,29.0,False
True,,True,33.0,1,3.0,65.0,True,False,False,65.0,False
True,0.3,False,14.0,6,,27.0,False,False,False,27.0,False
True,0.5,False,18.0,5,,35.0,False,True,True,35.0,False
False,,True,32.0,2,3.0,42.0,True,True,True,42.0,False
True,,True,29.0,2,,57.0,False,False,False,57.0,True
False,0.7,True,34.0,7,,47.0,False,False,True,47.0,False
True,0.6,True,29.0,2,,57.0,False,True,True,57.0,False
False,0.9,False,71.0,4,,90.0,False,False,True,90.0,False
False,0.2,False,30.0,9,,39.0,False,True,False,39.0,False
True,0.4,False,18.0,5,,35.0,False,True,True,35.0,False
False,,False,65.0,1,3.0,83.0,True,False,False,83.0,False
False,,False,26.0,5,4.0,31.0,True,False,False,31.0,False
True,,True,24.0,2,4.0,47.0,True,False,True,47.0,False
False,0.3,False,37.0,5,,53.0,False,True,True,53.0,False
False,0.7,False,55.0,3,,76.0,False,False,True,76.0,False
True,0.2,False,35.0,1,,69.0,False,False,True,69.0,False
True,0.4,False,12.0,8,,23.0,False,False,False,23.0,False
True,0.4,True,12.0,9,,23.0,False,False,True,23.0,False
True,,True,8.0,7,9.0,15.0,True,True,False,15.0,False
True,0.5,False,15.0,7,,29.0,False,True,True,29.0,False
False,,True,37.0,2,5.0,53.0,True,False,True,53.0,False
False,0.5,True,34.0,6,,47.0,False,False,True,47.0,False
True,,True,15.0,2,5.0,29.0,True,True,False,29.0,False
False,,False,8.0,9,3.0,15.0,True,False,True,15.0,False
True,,False,11.0,5,3.0,21.0,True,False,True,21.0,False
False,0.1,False,34.0,7,,47.0,False,False,False,47.0,False
True,,False,15.0,4,3.0,29.0,True,True,True,29.0,False
False,0.8,True,34.0,7,,47.0,False,False,False,47.0,False
False,,True,29.0,6,4.0,37.0,True,False,False,37.0,False
False,,False,29.0,7,4.0,37.0,True,False,False,37.0,False
False,0.8,True,34.0,7,,47.0,False,True,True,47.0,False
False,0.5,True,31.0,8,,41.0,False,True,False,41.0,False
True,,True,8.0,4,8.0,15.0,True,False,True,15.0,False
True,,False,9.0,9,3.0,17.0,True,False,True,17.0,False
False,,True,7.0,6,2.0,13.0,True,True,True,13.0,False
False,,False,8.0,7,2.0,15.0,True,True,False,15.0,False
False,,False,24.0,6,9.0,27.0,True,True,True,27.0,False
True,0.3,False,37.0,1,,73.0,False,False,False,73.0,False
False,,False,23.0,7,9.0,25.0,True,False,True,25.0,False
False,0.3,True,30.0,9,,39.0,False,True,True,39.0,False
True,,True,13.0,5,4.0,25.0,True,False,False,25.0,False
